AttID;AttName
921;General / Aquatic / Submerged leaf shape / Reduced to leaf stem only
852;General / Bulblet / Bulblets absent
853;General / Bulblet / Bulblets present
1789;General / Flowering Time (Use with caution) / January
1790;General / Flowering Time (Use with caution) / February
1791;General / Flowering Time (Use with caution) / March
1792;General / Flowering Time (Use with caution) / April
1793;General / Flowering Time (Use with caution) / May
1794;General / Flowering Time (Use with caution) / June
1795;General / Flowering Time (Use with caution) / July
1796;General / Flowering Time (Use with caution) / August
1797;General / Flowering Time (Use with caution) / September
1798;General / Flowering Time (Use with caution) / October
1799;General / Flowering Time (Use with caution) / November
1800;General / Flowering Time (Use with caution) / December
529;Roots / Bulb/layered
530;Roots / Corm/solid
532;Roots / Fibrous
564;Roots / Rhizome/horizontal root
533;Roots / Stolon or Runner
531;Roots / Taproot
576;Roots / Tuber
1785;Roots / Floating, no roots hanging
2938;Roots / Parasitic, no roots
663;Stem / Stem jointed / Stem NOT jointed
23;Stem / Stem jointed / Stem with obvious joints
517;Stem / Stem cross section shape / Oval or flattened
520;Stem / Stem cross section shape / Square
518;Stem / Stem cross section shape / Ridged
519;Stem / Stem cross section shape / Round
521;Stem / Stem cross section shape / Winged
937;Leaves / Leaf distribution on plant / NO LEAVES on plant
845;Leaves / Leaf distribution on plant / ONLY STEM leaves
321;Leaves / Leaf distribution on plant / ONLY BASAL leaves
491;Leaves / Leaf distribution on plant / BOTH basal and stem leaves
516;Leaves / Leaf distribution on plant / Leaf floating on water, no stems
193;Leaves / Leaf distribution on plant / Stem leaves alternate
237;Leaves / Leaf distribution on plant / Stem leaves alternate below, opposite above
889;Leaves / Leaf distribution on plant / Stem leaves opposite
1032;Leaves / Leaf distribution on plant / Stem leaves opposite below, alternate above
1412;Leaves / Leaf distribution on plant / Stem leaves fascicled
1037;Leaves / Leaf distribution on plant / Stem leaves perfoliate, surrounding stem
1033;Leaves / Leaf distribution on plant / Stem leaves whorled 3 per node
1034;Leaves / Leaf distribution on plant / Stem leaves whorled 4 per node
1035;Leaves / Leaf distribution on plant / Stem leaves whorled 5-8 per node
1036;Leaves / Leaf distribution on plant / Stem leaves whorled > 8 per node
1006;Leaves / Leaf distribution on plant / Stem leaves in 1 whorl mid-stem
715;Leaves / Basal leaves / Petiole to basal leaf ratio / Sessile, NO leaf stem
716;Leaves / Basal leaves / Petiole to basal leaf ratio / Petiole < 1/4 total length
717;Leaves / Basal leaves / Petiole to basal leaf ratio / Petiole 1/4 - 3/4 total length
718;Leaves / Basal leaves / Petiole to basal leaf ratio / Petiole > 3/4 total length
719;Leaves / Basal leaves / Basal leaf blade length / Under 5 mm      Under 3/16 in
720;Leaves / Basal leaves / Basal leaf blade length / 5-10 mm     3/16 - 6/16 in
721;Leaves / Basal leaves / Basal leaf blade length / 1-2 cm      .4 - .8 in
722;Leaves / Basal leaves / Basal leaf blade length / 2-4 cm      .8 - 1.6 in
724;Leaves / Basal leaves / Basal leaf blade length / 4-10 cm      1.6 - 3.9 in
730;Leaves / Basal leaves / Basal leaf blade length / 1-2 dm    3.9 - 8 in
735;Leaves / Basal leaves / Basal leaf blade length / 2-4 dm    8 - 16 in
739;Leaves / Basal leaves / Basal leaf blade length / 4-6 dm      16 - 24 in
742;Leaves / Basal leaves / Basal leaf blade length / Over 6 dm      Over 2 ft
743;Leaves / Basal leaves / Basal leaf width / Under 1 mm      Under 1/32 in
744;Leaves / Basal leaves / Basal leaf width / 1-3 mm      1/32 - 1/8 in
1783;Leaves / Basal leaves / Basal leaf width / 3-5 mm      1/8 - 3/16 in
745;Leaves / Basal leaves / Basal leaf width / 5-10 mm     3/16 - 6/16 in
746;Leaves / Basal leaves / Basal leaf width / 1-2 cm      .4 - .8 in
747;Leaves / Basal leaves / Basal leaf width / 2-4 cm      .8 - 1.6 in
749;Leaves / Basal leaves / Basal leaf width / 4-10 cm      1.6 - 3.9 in
755;Leaves / Basal leaves / Basal leaf width / 1-2 dm    3.9 - 8 in
760;Leaves / Basal leaves / Basal leaf width / 2-4 dm    8 - 16 in
764;Leaves / Basal leaves / Basal leaf width / Over 4 dm      Over 16 in
710;Leaves / Basal leaves / Basal leaf veins / Parallel
711;Leaves / Basal leaves / Basal leaf veins / Palmate
712;Leaves / Basal leaves / Basal leaf veins / Pinnate
713;Leaves / Basal leaves / Basal leaf veins / 1-nerved
714;Leaves / Basal leaves / Basal leaf veins / No veins/nerves evident
350;Leaves / Basal leaves / Basal leaf type / Simple (including lobed leaves)
796;Leaves / Basal leaves / Basal leaf type / Bifoliate, 2 leaflets only
707;Leaves / Basal leaves / Basal leaf type / Ternate or trifoliolate
708;Leaves / Basal leaves / Basal leaf type / 2 X ternate or ternately dissected
709;Leaves / Basal leaves / Basal leaf type / 3-4 X ternate/ternately dissected
462;Leaves / Basal leaves / Basal leaf type / Palmately compound, 3-5 leaflets
699;Leaves / Basal leaves / Basal leaf type / Palmately compound, 6-8 leaflets
911;Leaves / Basal leaves / Basal leaf type / Palmately compound, 9-11 leaflets
927;Leaves / Basal leaves / Basal leaf type / Palmately compound, 12-14 leaflets
928;Leaves / Basal leaves / Basal leaf type / Palmately compound, > 14 leaflets
1007;Leaves / Basal leaves / Basal leaf type / 2 X palmately dissected
1008;Leaves / Basal leaves / Basal leaf type / 3-4 X palmately dissected
702;Leaves / Basal leaves / Basal leaf type / Odd pinnate < 8 leaflets
703;Leaves / Basal leaves / Basal leaf type / Odd pinnate, 9-15 leaflets
906;Leaves / Basal leaves / Basal leaf type / Odd pinnate, 17-23 leaflets
907;Leaves / Basal leaves / Basal leaf type / Odd pinnate, > 23 leaflets
1825;Leaves / Basal leaves / Basal leaf type / Pinnate, leaflets in whorls
704;Leaves / Basal leaves / Basal leaf type / 2 X pinnate
705;Leaves / Basal leaves / Basal leaf type / 3 X pinnate or pinnately dissected
706;Leaves / Basal leaves / Basal leaf type / 4 X pinnate or pinnately dissected
767;Leaves / Basal leaves / Basal leaf shape (SIMPLE LEAF ONLY) / Leaf compound --> see leaf type menu
1788;Leaves / Basal leaves / Basal leaf shape (SIMPLE LEAF ONLY) / Hollow, open-ended funnel
740;Leaves / Basal leaves / Basal leaf shape (SIMPLE LEAF ONLY) / Cylindrical
698;Leaves / Basal leaves / Basal leaf shape (SIMPLE LEAF ONLY) / Linear
700;Leaves / Basal leaves / Basal leaf shape (SIMPLE LEAF ONLY) / Oblong
768;Leaves / Basal leaves / Basal leaf shape (SIMPLE LEAF ONLY) / Lanceolate
769;Leaves / Basal leaves / Basal leaf shape (SIMPLE LEAF ONLY) / Oblanceolate
771;Leaves / Basal leaves / Basal leaf shape (SIMPLE LEAF ONLY) / Spatulate
772;Leaves / Basal leaves / Basal leaf shape (SIMPLE LEAF ONLY) / Egg-shaped, small end at tip
773;Leaves / Basal leaves / Basal leaf shape (SIMPLE LEAF ONLY) / Egg-shaped, small end at stem
776;Leaves / Basal leaves / Basal leaf shape (SIMPLE LEAF ONLY) / Elliptic or Oval
780;Leaves / Basal leaves / Basal leaf shape (SIMPLE LEAF ONLY) / Round
781;Leaves / Basal leaves / Basal leaf shape (SIMPLE LEAF ONLY) / Kidney shaped
1778;Leaves / Basal leaves / Basal leaf shape (SIMPLE LEAF ONLY) / Fan shaped
784;Leaves / Basal leaves / Basal leaf shape (SIMPLE LEAF ONLY) / Heart shaped, pointed end at tip
785;Leaves / Basal leaves / Basal leaf shape (SIMPLE LEAF ONLY) / Heart shaped, pointed end at stem
701;Leaves / Basal leaves / Basal leaf shape (SIMPLE LEAF ONLY) / Triangular
786;Leaves / Basal leaves / Basal leaf shape (SIMPLE LEAF ONLY) / Sagittate
787;Leaves / Basal leaves / Basal leaf shape (SIMPLE LEAF ONLY) / Hastate
788;Leaves / Basal leaves / Basal leaf shape (SIMPLE LEAF ONLY) / Palmately 3 lobed
789;Leaves / Basal leaves / Basal leaf shape (SIMPLE LEAF ONLY) / Palmately 4-5 lobed
790;Leaves / Basal leaves / Basal leaf shape (SIMPLE LEAF ONLY) / Palmately > 5 lobed
791;Leaves / Basal leaves / Basal leaf shape (SIMPLE LEAF ONLY) / Pinnately lobed
846;Leaves / Basal leaves / Basal leaf shape (SIMPLE LEAF ONLY) / Pinnately 2 X lobed
792;Leaves / Basal leaves / Basal leaf shape (SIMPLE LEAF ONLY) / Pinnate, lobes backward
793;Leaves / Basal leaves / Basal leaf shape (SIMPLE LEAF ONLY) / Pinnate, tip large-rounded
809;Leaves / Basal leaves / Basal leaf/leaflet base shape / Linear
811;Leaves / Basal leaves / Basal leaf/leaflet base shape / Gradually narrowing
812;Leaves / Basal leaves / Basal leaf/leaflet base shape / Acute
813;Leaves / Basal leaves / Basal leaf/leaflet base shape / Obtuse
142;Leaves / Basal leaves / Basal leaf/leaflet base shape / Broadly rounded
814;Leaves / Basal leaves / Basal leaf/leaflet base shape / Squared
815;Leaves / Basal leaves / Basal leaf/leaflet base shape / Cordate
817;Leaves / Basal leaves / Basal leaf/leaflet base shape / Lobes pointing backward
818;Leaves / Basal leaves / Basal leaf/leaflet base shape / Lobes flaring
228;Leaves / Basal leaves / Basal leaf/leaflet base shape / Peltate
391;Leaves / Basal leaves / Basal leaf/leaflet tip shape / Thorn or spine at tip
819;Leaves / Basal leaves / Basal leaf/leaflet tip shape / Acuminate
820;Leaves / Basal leaves / Basal leaf/leaflet tip shape / Acute
824;Leaves / Basal leaves / Basal leaf/leaflet tip shape / Obtuse
825;Leaves / Basal leaves / Basal leaf/leaflet tip shape / Broadly rounded
826;Leaves / Basal leaves / Basal leaf/leaflet tip shape / Squared
828;Leaves / Basal leaves / Basal leaf/leaflet tip shape / Notched or bilobed
827;Leaves / Basal leaves / Basal leaf/leaflet tip shape / Trilobed
473;Leaves / Basal leaves / Basal leaf/leaflet margin / Edges curled upward
779;Leaves / Basal leaves / Basal leaf/leaflet margin / Edges curled under
797;Leaves / Basal leaves / Basal leaf/leaflet margin / Entire
799;Leaves / Basal leaves / Basal leaf/leaflet margin / Spines or thorns
800;Leaves / Basal leaves / Basal leaf/leaflet margin / Toothed, directed forward
801;Leaves / Basal leaves / Basal leaf/leaflet margin / Toothed, directed outward
2307;Leaves / Basal leaves / Basal leaf/leaflet margin / Toothed, directed back
803;Leaves / Basal leaves / Basal leaf/leaflet margin / Toothed, teeth rounded
804;Leaves / Basal leaves / Basal leaf/leaflet margin / Lobed              (cut < halfway)
806;Leaves / Basal leaves / Basal leaf/leaflet margin / Parted             (cut > halfway)
829;Leaves / Basal leaves / Basal leaf/leaflet upper surface / Smooth, no hair
830;Leaves / Basal leaves / Basal leaf/leaflet upper surface / Glaucous
831;Leaves / Basal leaves / Basal leaf/leaflet upper surface / Gland-dotted or viscid
832;Leaves / Basal leaves / Basal leaf/leaflet upper surface / Glandular hair
834;Leaves / Basal leaves / Basal leaf/leaflet upper surface / Hair simple, not branched
835;Leaves / Basal leaves / Basal leaf/leaflet upper surface / Hair 2-3-forked or T-shaped
838;Leaves / Basal leaves / Basal leaf/leaflet upper surface / Stellate hair
842;Leaves / Basal leaves / Basal leaf/leaflet upper surface / Spiny, prickly or bristled
856;Leaves / Basal leaves / Basal leaf/leaflet under surface / Smooth, no hair
857;Leaves / Basal leaves / Basal leaf/leaflet under surface / Glaucous
858;Leaves / Basal leaves / Basal leaf/leaflet under surface / Gland-dotted or viscid
859;Leaves / Basal leaves / Basal leaf/leaflet under surface / Glandular hair
861;Leaves / Basal leaves / Basal leaf/leaflet under surface / Hair simple, not branched
862;Leaves / Basal leaves / Basal leaf/leaflet under surface / Hair 2-3-forked or T-shaped
865;Leaves / Basal leaves / Basal leaf/leaflet under surface / Stellate hair
868;Leaves / Basal leaves / Basal leaf/leaflet under surface / Spiny, prickly or bristled
434;Leaves / Stem leaves / Leaf or petiole sheathing / Petiole/leaf NOT sheathing on stem
433;Leaves / Stem leaves / Leaf or petiole sheathing / Petiole/leaf sheathing around stem
313;Leaves / Stem leaves / Stipules / NO stipules
337;Leaves / Stem leaves / Stipules / < 2 mm      < 1/16 in   long
339;Leaves / Stem leaves / Stipules / 2-4 mm      1/16 - 5/32 in
340;Leaves / Stem leaves / Stipules / 4-10 mm     5/32 - 13/32 in
341;Leaves / Stem leaves / Stipules / 1-2 cm      13/32 - 25/32 in
909;Leaves / Stem leaves / Stipules / 2-5 cm      .8 - 2.0 in
910;Leaves / Stem leaves / Stipules / > 5 cm      > 2.0 in
903;Leaves / Stem leaves / Stipules / United around the stem
908;Leaves / Stem leaves / Stipules /       Not united around the stem
933;Leaves / Stem leaves / Stipules / Thorns or bristles present
318;Leaves / Stem leaves / Petiole to stem leaf ratio / Sessile, NO leaf stem
352;Leaves / Stem leaves / Petiole to stem leaf ratio / Petiole < 1/4 total length
353;Leaves / Stem leaves / Petiole to stem leaf ratio / Petiole 1/4 - 3/4 total length
354;Leaves / Stem leaves / Petiole to stem leaf ratio / Petiole > 3/4 total length
355;Leaves / Stem leaves / Stem leaf blade length / Under 5 mm      Under  3/16 in
356;Leaves / Stem leaves / Stem leaf blade length / 5-10 mm     3/16 - 6/16 in
357;Leaves / Stem leaves / Stem leaf blade length / 1-2 cm      .4 - .8 in
358;Leaves / Stem leaves / Stem leaf blade length / 2-4 cm      .8 - 1.6 in
359;Leaves / Stem leaves / Stem leaf blade length / 4-10 cm      1.6 - 3.9 in
360;Leaves / Stem leaves / Stem leaf blade length / 1-2 dm    3.9 - 8 in
361;Leaves / Stem leaves / Stem leaf blade length / 2-4 dm     8 - 16 in
362;Leaves / Stem leaves / Stem leaf blade length / 4-6 dm      16 - 24 in
363;Leaves / Stem leaves / Stem leaf blade length / Over 6 dm      Over 2 ft
364;Leaves / Stem leaves / Stem leaf width / Under 1 mm      Under 1/32 in
365;Leaves / Stem leaves / Stem leaf width / 1-3 mm      1/32 - 1/8 in
1784;Leaves / Stem leaves / Stem leaf width / 3-5 mm      1/8 - 3/16 in
366;Leaves / Stem leaves / Stem leaf width / 5-10 mm     3/16 - 6/16 in
367;Leaves / Stem leaves / Stem leaf width / 1-2 cm      .4 - .8 in
368;Leaves / Stem leaves / Stem leaf width / 2-4 cm      .8 - 1.6 in
369;Leaves / Stem leaves / Stem leaf width / 4-10 cm      1.6 - 3.9 in
370;Leaves / Stem leaves / Stem leaf width / 1-2 dm    3.9 - 8 in
371;Leaves / Stem leaves / Stem leaf width / 2-4 dm    8 - 16 in
372;Leaves / Stem leaves / Stem leaf width / Over 4 dm      Over 16 in
347;Leaves / Stem leaves / Stem leaf veins / Parallel
348;Leaves / Stem leaves / Stem leaf veins / Palmate
349;Leaves / Stem leaves / Stem leaf veins / Pinnate
68;Leaves / Stem leaves / Stem leaf veins / 1-nerved
317;Leaves / Stem leaves / Stem leaf veins / No veins/nerves evident
375;Leaves / Stem leaves / Stem leaf type / Simple (including lobed leaves)
2458;Leaves / Stem leaves / Stem leaf type / Bifoliate, 2 leaflets only
377;Leaves / Stem leaves / Stem leaf type / Ternate or trifoliolate
379;Leaves / Stem leaves / Stem leaf type / 2 X ternate or ternately dissected
631;Leaves / Stem leaves / Stem leaf type / 3-4 X ternate/ternately dissected
335;Leaves / Stem leaves / Stem leaf type / Palmately compound, 3-5 leaflets
588;Leaves / Stem leaves / Stem leaf type / Palmately compound, 6-8 leaflets
929;Leaves / Stem leaves / Stem leaf type / Palmately compound, 9-11 leaflets
930;Leaves / Stem leaves / Stem leaf type / Palmately compound, 12-14 leaflets
931;Leaves / Stem leaves / Stem leaf type / Palmately compound, > 14 leaflets
1010;Leaves / Stem leaves / Stem leaf type / 2 X palmately dissected
1011;Leaves / Stem leaves / Stem leaf type / 3-4 X palmately dissected
376;Leaves / Stem leaves / Stem leaf type / Even pinnate < 9 leaflets
336;Leaves / Stem leaves / Stem leaf type / Even pinnate > 9 leaflets
596;Leaves / Stem leaves / Stem leaf type / Odd pinnate < 8 leaflets
597;Leaves / Stem leaves / Stem leaf type / Odd pinnate, 9-15 leaflets
904;Leaves / Stem leaves / Stem leaf type / Odd pinnate, 17-23 leaflets
905;Leaves / Stem leaves / Stem leaf type / Odd pinnate, > 23 leaflets
2946;Leaves / Stem leaves / Stem leaf type / Pinnate, leaflets in whorls
333;Leaves / Stem leaves / Stem leaf type / 2 X pinnate
334;Leaves / Stem leaves / Stem leaf type / 3 X pinnate or pinnately dissected
492;Leaves / Stem leaves / Stem leaf type / 4 X pinnate or pinnately dissected
561;Leaves / Stem leaves / Stem leaf shape (SIMPLE LEAF ONLY) / Leaf compound --> see leaf type menu
329;Leaves / Stem leaves / Stem leaf shape (SIMPLE LEAF ONLY) / Scale-like
770;Leaves / Stem leaves / Stem leaf shape (SIMPLE LEAF ONLY) / Cylindrical
774;Leaves / Stem leaves / Stem leaf shape (SIMPLE LEAF ONLY) / Linear
775;Leaves / Stem leaves / Stem leaf shape (SIMPLE LEAF ONLY) / Oblong
383;Leaves / Stem leaves / Stem leaf shape (SIMPLE LEAF ONLY) / Lanceolate
446;Leaves / Stem leaves / Stem leaf shape (SIMPLE LEAF ONLY) / Oblanceolate
330;Leaves / Stem leaves / Stem leaf shape (SIMPLE LEAF ONLY) / Spatulate
384;Leaves / Stem leaves / Stem leaf shape (SIMPLE LEAF ONLY) / Egg-shaped, small end at tip
386;Leaves / Stem leaves / Stem leaf shape (SIMPLE LEAF ONLY) / Egg-shaped, small end at stem
389;Leaves / Stem leaves / Stem leaf shape (SIMPLE LEAF ONLY) / Elliptic or Oval
392;Leaves / Stem leaves / Stem leaf shape (SIMPLE LEAF ONLY) / Round
394;Leaves / Stem leaves / Stem leaf shape (SIMPLE LEAF ONLY) / Kidney shaped
1779;Leaves / Stem leaves / Stem leaf shape (SIMPLE LEAF ONLY) / Fan shaped
396;Leaves / Stem leaves / Stem leaf shape (SIMPLE LEAF ONLY) / Heart shaped, pointed end at tip
397;Leaves / Stem leaves / Stem leaf shape (SIMPLE LEAF ONLY) / Heart shaped, pointed end at stem
387;Leaves / Stem leaves / Stem leaf shape (SIMPLE LEAF ONLY) / Triangular
398;Leaves / Stem leaves / Stem leaf shape (SIMPLE LEAF ONLY) / Sagittate
399;Leaves / Stem leaves / Stem leaf shape (SIMPLE LEAF ONLY) / Hastate
400;Leaves / Stem leaves / Stem leaf shape (SIMPLE LEAF ONLY) / Palmately 3 lobed
401;Leaves / Stem leaves / Stem leaf shape (SIMPLE LEAF ONLY) / Palmately 4-5 lobed
402;Leaves / Stem leaves / Stem leaf shape (SIMPLE LEAF ONLY) / Palmately > 5 lobed
403;Leaves / Stem leaves / Stem leaf shape (SIMPLE LEAF ONLY) / Pinnately lobed
847;Leaves / Stem leaves / Stem leaf shape (SIMPLE LEAF ONLY) / Pinnately 2 X lobed
404;Leaves / Stem leaves / Stem leaf shape (SIMPLE LEAF ONLY) / Pinnate, lobes backward
405;Leaves / Stem leaves / Stem leaf shape (SIMPLE LEAF ONLY) / Pinnate, tip large-rounded
469;Leaves / Stem leaves / Stem leaf/leaflet base shape / Clasping
630;Leaves / Stem leaves / Stem leaf/leaflet base shape / Linear
458;Leaves / Stem leaves / Stem leaf/leaflet base shape / Gradually narrowing
467;Leaves / Stem leaves / Stem leaf/leaflet base shape / Acute
460;Leaves / Stem leaves / Stem leaf/leaflet base shape / Obtuse
215;Leaves / Stem leaves / Stem leaf/leaflet base shape / Broadly rounded
461;Leaves / Stem leaves / Stem leaf/leaflet base shape / Squared
463;Leaves / Stem leaves / Stem leaf/leaflet base shape / Cordate
464;Leaves / Stem leaves / Stem leaf/leaflet base shape / Lobes pointing backward
465;Leaves / Stem leaves / Stem leaf/leaflet base shape / Lobes flaring
345;Leaves / Stem leaves / Stem leaf/leaflet base shape / Peltate
395;Leaves / Stem leaves / Stem leaf/leaflet base shape / Perfoliate
777;Leaves / Stem leaves / Stem leaf/leaflet tip shape / Thorn or spine at tip
471;Leaves / Stem leaves / Stem leaf/leaflet tip shape / Acuminate
474;Leaves / Stem leaves / Stem leaf/leaflet tip shape / Abrupt short point, not stiff
472;Leaves / Stem leaves / Stem leaf/leaflet tip shape / Acute
477;Leaves / Stem leaves / Stem leaf/leaflet tip shape / Obtuse
478;Leaves / Stem leaves / Stem leaf/leaflet tip shape / Broadly rounded
479;Leaves / Stem leaves / Stem leaf/leaflet tip shape / Squared
480;Leaves / Stem leaves / Stem leaf/leaflet tip shape / Notched or bilobed
690;Leaves / Stem leaves / Stem leaf/leaflet tip shape / Trilobed
163;Leaves / Stem leaves / Stem leaf/leaflet margin / Edges curled upward
447;Leaves / Stem leaves / Stem leaf/leaflet margin / Edges curled under
393;Leaves / Stem leaves / Stem leaf/leaflet margin / Entire
794;Leaves / Stem leaves / Stem leaf/leaflet margin / Spines or thorns
449;Leaves / Stem leaves / Stem leaf/leaflet margin / Toothed, directed forward
450;Leaves / Stem leaves / Stem leaf/leaflet margin / Toothed, directed outward
2308;Leaves / Stem leaves / Stem leaf/leaflet margin / Toothed, directed back
451;Leaves / Stem leaves / Stem leaf/leaflet margin / Toothed, teeth rounded
454;Leaves / Stem leaves / Stem leaf/leaflet margin / Lobed              (cut < halfway)
455;Leaves / Stem leaves / Stem leaf/leaflet margin / Parted             (cut > halfway)
24;Leaves / Stem leaves / Stem leaf/leaflet upper surface / Smooth, no hair
778;Leaves / Stem leaves / Stem leaf/leaflet upper surface / Bran-like scales
484;Leaves / Stem leaves / Stem leaf/leaflet upper surface / Glaucous
509;Leaves / Stem leaves / Stem leaf/leaflet upper surface / Gland-dotted or viscid
378;Leaves / Stem leaves / Stem leaf/leaflet upper surface / Glandular hair
307;Leaves / Stem leaves / Stem leaf/leaflet upper surface / Hair simple, not branched
687;Leaves / Stem leaves / Stem leaf/leaflet upper surface / Hair 2-3-forked or T-shaped
676;Leaves / Stem leaves / Stem leaf/leaflet upper surface / Stellate hair
380;Leaves / Stem leaves / Stem leaf/leaflet upper surface / Stinging hair
309;Leaves / Stem leaves / Stem leaf/leaflet upper surface / Spiny, prickly or bristled
872;Leaves / Stem leaves / Stem leaf/leaflet under surface / Smooth, no hair
808;Leaves / Stem leaves / Stem leaf/leaflet under surface / Bran-like scales
873;Leaves / Stem leaves / Stem leaf/leaflet under surface / Glaucous
874;Leaves / Stem leaves / Stem leaf/leaflet under surface / Gland-dotted or viscid
875;Leaves / Stem leaves / Stem leaf/leaflet under surface / Glandular hair
877;Leaves / Stem leaves / Stem leaf/leaflet under surface / Hair simple, not branched
878;Leaves / Stem leaves / Stem leaf/leaflet under surface / Hair 2-3-forked or T-shaped
881;Leaves / Stem leaves / Stem leaf/leaflet under surface / Stellate hair
882;Leaves / Stem leaves / Stem leaf/leaflet under surface / Stinging hair
884;Leaves / Stem leaves / Stem leaf/leaflet under surface / Spiny, prickly or bristled
2245;Leaves / Basal or stem leaflet (IF COMPOUND / Petiolule to leaflet length ratio / Petiolule absent (sessile)
2948;Leaves / Basal or stem leaflet (IF COMPOUND / Petiolule to leaflet length ratio / Petiolule < 1/4 total length
2949;Leaves / Basal or stem leaflet (IF COMPOUND / Petiolule to leaflet length ratio / Petiolule 1/4 - 3/4 total length
410;Leaves / Basal or stem leaflet (IF COMPOUND / Leaflet length / < 5 mm      < 3/16 in
411;Leaves / Basal or stem leaflet (IF COMPOUND / Leaflet length / 5-10 mm     3/16 - 13/32 in
412;Leaves / Basal or stem leaflet (IF COMPOUND / Leaflet length / 1-2 cm      13/32 - 25/32 in
413;Leaves / Basal or stem leaflet (IF COMPOUND / Leaflet length / 2-4 cm      .8 - 1.6 in
414;Leaves / Basal or stem leaflet (IF COMPOUND / Leaflet length / 4-7 cm      1.6 - 2.75 in
8;Leaves / Basal or stem leaflet (IF COMPOUND / Leaflet length / 7-10 cm     2.75 - 3.9 in
415;Leaves / Basal or stem leaflet (IF COMPOUND / Leaflet length / 1-2 dm      3.9 - 7.9 in
416;Leaves / Basal or stem leaflet (IF COMPOUND / Leaflet length / > 2 dm      > 7.9 in
417;Leaves / Basal or stem leaflet (IF COMPOUND / Leaflet width / < 2 mm      < 1/16 in
1782;Leaves / Basal or stem leaflet (IF COMPOUND / Leaflet width / 2-5 mm      1/16 - 3/16 in
418;Leaves / Basal or stem leaflet (IF COMPOUND / Leaflet width / 5-10 mm     3/16 - 13/32 in
419;Leaves / Basal or stem leaflet (IF COMPOUND / Leaflet width / 1-2 cm      13/32 - 25/32 in
420;Leaves / Basal or stem leaflet (IF COMPOUND / Leaflet width / 2-4 cm      .8 - 1.6 in
421;Leaves / Basal or stem leaflet (IF COMPOUND / Leaflet width / 4-7 cm      1.6 - 2.75 in
20;Leaves / Basal or stem leaflet (IF COMPOUND / Leaflet width / 7-10 cm     2.75 - 3.9 in
422;Leaves / Basal or stem leaflet (IF COMPOUND / Leaflet width / 1-2 dm      3.9 - 7.9 in
423;Leaves / Basal or stem leaflet (IF COMPOUND / Leaflet width / > 2 dm      > 7.9 in
425;Leaves / Basal or stem leaflet (IF COMPOUND / Leaflet shape / Linear
